年份,月份,排名,车型,销量,厂商,售价
2022,1,1,轩逸,61170,东风日产,14.17
2022,1,2,朗逸,45524,上汽大众,12.29
2022,1,3,宏光MINIEV,37048,上汽通用五菱,6.63
2022,1,4,凯美瑞,28023,广汽丰田,22.48
2022,1,5,Model 3,26548,特斯拉中国,27.79
2022,1,6,速腾,26341,一汽-大众,15.04
2022,1,7,秦PLUS,25535,比亚迪,13.98
2022,1,8,逸动,21883,长安汽车,8.84
2022,1,9,宝马5系,20579,华晨宝马,49.95
2022,1,10,雷凌,19485,广汽丰田,13.23
2022,1,11,宝马3系,18841,华晨宝马,34.99
2022,1,12,宝来,18521,一汽-大众,13.45
2022,1,13,奥迪A4L,18444,一汽-大众奥迪,36.13
2022,1,14,帝豪,18129,吉利汽车,9.98
2022,1,15,雅阁,17601,广汽本田,21.48
2022,1,16,天籁,17571,东风日产,22.48
2022,1,17,思域,16019,东风本田,15.89
2022,1,18,迈腾,15991,一汽-大众,24.84
2022,1,19,帕萨特,14668,上汽大众,21.74
2022,1,20,奔驰E级,13460,北京奔驰,50.48
2022,1,21,MG5,13416,上汽集团,8.39
2022,1,22,马自达3 昂克赛拉,13157,长安马自达,13.99
2022,1,23,红旗H5,13137,一汽红旗,19.28
2022,1,24,汉,12781,比亚迪,26.08
2022,1,25,卡罗拉,12564,一汽丰田,13.48
2022,1,26,亚洲龙,12322,一汽丰田,23.98
2022,1,27,星瑞,12109,吉利汽车,12.72
2022,1,28,奥迪A3,11664,一汽-大众奥迪,22.72
2022,1,29,荣威i5,10940,上汽集团,8.39
2022,1,30,海豚,10602,比亚迪,12.83
2022,1,31,科鲁泽,10591,上汽通用雪佛兰,10.19
2022,1,32,奥迪A6L,10450,一汽-大众奥迪,54.23
2022,1,33,奕炫,10434,东风乘用车,7.94
2022,1,34,QQ冰淇淋,9984,奇瑞新能源,4.37
2022,1,35,长安奔奔E-Star,9852,长安汽车,0.0
2022,1,36,小蚂蚁,9412,奇瑞新能源,7.7
2022,1,37,型格,9215,广汽本田,15.84
2022,1,38,欧拉好猫,9020,长城新能源,14.78
2022,1,39,飞度,8937,广汽本田,9.53
2022,1,40,英仕派,8863,东风本田,21.79
2022,1,41,君威,8718,上汽通用别克,20.48
2022,1,42,威朗,8286,上汽通用别克,14.44
2022,1,43,高尔夫,8170,一汽-大众,17.98
2022,1,44,YARiS L 致炫,7877,广汽丰田,9.48
2022,1,45,伊兰特,7211,北京现代,12.48
2022,1,46,凌渡,7067,上汽大众,16.74
2022,1,47,AION S,7049,广汽埃安,15.98
